id,task_type,input_text,expected
food_001,extract_food_items,"The food was not good, but I liked how the waitress apologized. I liked the hamburger, but the hamburger was not from this place.",hamburger
food_002,extract_food_items,"I came for coffee, stayed for the croissant. The service was slow, but the croissant was perfect.",coffee; croissant
food_003,extract_food_items,We didn't order dessert. The pizza was great and the salad was fresh.,pizza; salad
food_004,extract_food_items,"The sushi was overpriced; however, the miso soup was comforting.",sushi; miso soup
food_005,extract_food_items,"I asked for fries, but they brought onion rings instead. The burger was fine.",fries; onion rings; burger
food_006,extract_food_items,No tacos today—just a burrito and a soda.,burrito; soda
food_007,extract_food_items,The steak wasn't cooked right. The mashed potatoes were excellent though.,steak; mashed potatoes
food_008,extract_food_items,Loved the ice cream! I didn't try the cake.,ice cream; cake
food_009,extract_food_items,"The menu mentioned ramen, but I ordered udon.",ramen; udon
food_010,extract_food_items,Great vibe. Terrible nachos. Amazing guacamole.,nachos; guacamole
food_011,extract_food_items,"The burger, fries, and milkshake arrived cold. Still, the milkshake tasted great.",burger; fries; milkshake
food_012,extract_food_items,I only had water. My friend had pasta and tiramisu.,water; pasta; tiramisu
name_001,extract_last_name,Full name: John Smith,Smith
name_002,extract_last_name,Full name: María Fernanda López García,López García
name_003,extract_last_name,Full name: Ana Ruiz-López,Ruiz-López
name_004,extract_last_name,Full name: Jean-Pierre Dupont,Dupont
name_005,extract_last_name,Full name: J. R. R. Tolkien,Tolkien
name_006,extract_last_name,Full name: Carlos M. de la Cruz Hernández,de la Cruz Hernández
name_007,extract_last_name,Full name: Sarah O'Connor,O'Connor
name_008,extract_last_name,Full name: Mohammed bin Salman,bin Salman
name_009,extract_last_name,Full name: Xi Jinping,Jinping
name_010,extract_last_name,Full name: Gabriela del Río,del Río
name_011,extract_last_name,Full name: Marcus Aurelius Antoninus,Aurelius Antoninus
name_012,extract_last_name,Full name: Luisa Fernanda Pérez de León,Pérez de León
legal_001,extract_legal_entities,We signed a contract with Chabacano LLC.,Chabacano LLC
legal_002,extract_legal_entities,This NDA applies to Chabacano L.L.C. and Chabacano LLC.,Chabacano L.L.C.; Chabacano LLC
legal_003,extract_legal_entities,Please invoice Chabacano Grande de Veracruz SA de CV & CO for the services.,Chabacano Grande de Veracruz SA de CV & CO
legal_004,extract_legal_entities,"Parties: (1) Acme, Inc.; (2) Beta Systems Ltd; (3) Chabacano LLC.","Acme, Inc.; Beta Systems Ltd; Chabacano LLC"
legal_005,extract_legal_entities,"The sponsor is Fundación Río Azul A.C., not Avenida Chabacano (a street).",Fundación Río Azul A.C.
legal_006,extract_legal_entities,We discussed Chabacano—just the neighborhood—no legal entity was involved.,
legal_007,extract_legal_entities,"Transfer ownership to Servicios Integrales del Norte, S.A. de C.V.","Servicios Integrales del Norte, S.A. de C.V."
legal_008,extract_legal_entities,The agreement mentions ALPHA CORP (US) and Alpha Corp. (EU).,ALPHA CORP (US); Alpha Corp. (EU)
legal_009,extract_legal_entities,Payments should be made to 'Comercializadora La Vía Láctea S. de R.L. de C.V.',Comercializadora La Vía Láctea S. de R.L. de C.V.
legal_010,extract_legal_entities,"We terminated the deal with Chabacano LLC, Chabacano LLC, and Chabacano LLC.",Chabacano LLC
legal_011,extract_legal_entities,Counterparty: Chabacano SA CV (typo) — intended as Chabacano S.A. de C.V.,Chabacano SA CV; Chabacano S.A. de C.V.
legal_012,extract_legal_entities,"Entities involved: Chabacano & Sons LLC; Chabacano and Sons, L.L.C.","Chabacano & Sons LLC; Chabacano and Sons, L.L.C."
decision_001,extract_decision,"After reviewing the application, we cannot approve it at this time due to missing documentation.",denied
decision_002,extract_decision,"We were going to reject the request, but after the appeal we approved it.",approved
decision_003,extract_decision,Your request is pending while compliance completes verification.,pending
decision_004,extract_decision,"We approve the refund. However, we do not approve the additional compensation.",approved
